id,funcionario.nome,funcionario.sobrenome,amigos
990,Cristine,Gegg,"[{""sexo"":""M"",""nome"":""Darin Sterman""},{""sexo"":""M"",""nome"":""Guilbert Ghidelli""},{""sexo"":""F"",""nome"":""Benita Olivera""}]"
991,Homere,Fegan,"[{""sexo"":""F"",""nome"":""Coral Pittendreigh""}]"
992,Lynn,Drioli,"[{""sexo"":""F"",""nome"":""Dollie Doggart""},{""sexo"":""F"",""nome"":""Kaitlynn Zannelli""},{""sexo"":""F"",""nome"":""Deanne Greenan""}]"
993,Keen,Santacrole,"[{""sexo"":""F"",""nome"":""Shayla Buckingham""}]"
994,Andrus,McGaraghan,"[{""sexo"":""M"",""nome"":""Lon Yanov""}]"
995,Melodee,Kharchinski,"[{""sexo"":""M"",""nome"":""Erskine Le Brun""},{""sexo"":""F"",""nome"":""Charisse Skrines""}]"
996,Angus,Amberger,"[{""sexo"":""M"",""nome"":""Lek Templeton""}]"
997,Charo,Akhurst,"[{""sexo"":""F"",""nome"":""Betteanne Myton""},{""sexo"":""M"",""nome"":""Gordan Santarelli""}]"
998,Staffard,Boij,"[{""sexo"":""M"",""nome"":""Sawyer Mowbray""},{""sexo"":""M"",""nome"":""Renaldo Simonelli""},{""sexo"":""F"",""nome"":""Annalee Marzelle""}]"
999,Timi,Saffen,"[{""sexo"":""M"",""nome"":""Adolphus Freckelton""},{""sexo"":""M"",""nome"":""Curr Luipold""}]"
1000,Loretta,Pourveer,"[{""sexo"":""M"",""nome"":""Mendel Tiley""},{""sexo"":""F"",""nome"":""Alina Sent""},{""sexo"":""M"",""nome"":""Amble McQuarrie""}]"
